ticker,MAE,R2,n_obs
AAPL,0.012421461058091296,-0.16818254874332927,35
AMZN,0.015307293744485894,-0.41571278718305105,35
GOOGL,0.012711886506074209,-0.160931074686681,35
MSFT,0.008385559861820659,-0.5547747594576913,35
NVDA,0.016494429915313674,-0.015321361032871517,35
