date,ticker,close,ret_1d,fwd_ret_1d,ret_lag_1,ret_lag_2,ret_lag_3,ret_lag_5,mom_5,mom_10,mom_20,vol_5,vol_10,vol_20,rsi_14,vol_z20,dow_1,dow_2,dow_3,dow_4,sentiment_mean,sentiment_sum,news_count,sent_mean_roll3,sent_mean_roll5,sent_mean_roll7,sent_sum_roll3,sent_sum_roll5,sent_sum_roll7,news_count_roll3,news_count_roll5,news_count_roll7,sentiment_mean_isna,sentiment_sum_isna,news_count_isna,sent_mean_roll3_isna,sent_mean_roll5_isna,sent_mean_roll7_isna,sent_sum_roll3_isna,sent_sum_roll5_isna,sent_sum_roll7_isna,news_count_roll3_isna,news_count_roll5_isna,news_count_roll7_isna,fwd_ret_1d,date,ticker
2025-08-19,AAPL,230.55999755859372,-0.00142925995897214,-0.01973457277905044,-0.0030225698834630554,-0.005112133549474263,-0.0023571895917441354,0.010872441677679756,-0.005478157388562166,0.012178614861541481,0.05570982163884697,0.008606445818308191,0.021472216347220293,0.018600573297148655,0.7400808167545228,-0.9515987365764935,True,False,False,False,0.2947715582326055,13.264720120467247,45.0,0.2947715582326055,0.2947715582326055,0.2947715582326055,13.264720120467247,13.264720120467247,13.264720120467247,45.0,45.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01973457277905044,2025-08-19,AAPL
2025-08-20,AAPL,226.00999450683597,-0.01973457277905044,-0.004911289931109564,-0.00142925995897214,-0.0030225698834630554,-0.005112133549474263,0.01602441991019199,-0.018909052804660043,-0.01342753266207386,0.03201626194073848,0.007614219148881247,0.019174872061517367,0.01931427559876514,0.6930756137617234,-0.8198735537804609,False,True,False,False,0.1867913389578462,4.856574812904001,26.0,0.24078144859522582,0.24078144859522582,0.24078144859522582,18.12129493337125,18.12129493337125,18.12129493337125,71.0,71.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004911289931109564,2025-08-20,AAPL
2025-08-21,AAPL,224.8999938964844,-0.004911289931109564,0.012716766064777785,-0.01973457277905044,-0.00142925995897214,-0.0030225698834630554,-0.0023571895917441354,-0.017002502310726975,-0.020461868963820184,0.024285896391668116,0.007362477730538288,0.017113501287066776,0.01936657125741181,0.7568317991828419,-1.219968947329091,False,False,True,False,0.0,0.0,0.0,0.24078144859522582,0.24078144859522582,0.24078144859522582,18.12129493337125,18.12129493337125,18.12129493337125,71.0,71.0,71.0,1,1,1,0,0,0,0,0,0,0,0,0,0.012716766064777785,2025-08-21,AAPL
2025-08-22,AAPL,227.75999450683597,0.012716766064777785,-0.0026343118159348755,-0.004911289931109564,-0.01973457277905044,-0.00142925995897214,-0.005112133549474263,-0.0011577793105446155,-0.007430335163381652,0.033986232845153674,0.011541252454957211,0.010851853477558937,0.019483813330734814,0.7667897598411288,-0.7639168872868294,False,False,False,True,0.0,0.0,0.0,0.1867913389578462,0.24078144859522582,0.24078144859522582,4.856574812904001,18.12129493337125,18.12129493337125,26.0,71.0,71.0,1,1,1,0,0,0,0,0,0,0,0,0,-0.0026343118159348755,2025-08-22,AAPL
2025-08-25,AAPL,227.16000366210935,-0.0026343118159348755,0.009464667467088184,0.012716766064777785,-0.004911289931109564,-0.01973457277905044,-0.0030225698834630554,-0.0005191578846621692,-0.010036449449986717,0.028146160679368926,0.01154469104002974,0.01054131478585656,0.019522838200665055,0.7639698325220194,-1.1832253341057162,False,False,False,False,0.0,0.0,0.0,0.0,0.24078144859522582,0.24078144859522582,0.0,18.12129493337125,18.12129493337125,0.0,71.0,71.0,1,1,1,1,0,0,1,0,0,1,0,0,0.009464667467088184,2025-08-25,AAPL
2025-08-26,AAPL,229.30999755859372,0.009464667467088184,0.005145907056533172,-0.0026343118159348755,0.012716766064777785,-0.004911289931109564,-0.00142925995897214,0.010051626954930448,-0.0005186800503874656,0.033601491714567944,0.012909399364089576,0.010388892044644566,0.019184918708467804,0.7134754247606012,-0.27875407274912234,True,False,False,False,0.0,0.0,0.0,0.0,0.1867913389578462,0.24078144859522582,0.0,4.856574812904001,18.12129493337125,0.0,26.0,71.0,1,1,1,1,0,0,1,0,0,1,0,0,0.005145907056533172,2025-08-26,AAPL
2025-08-27,AAPL,230.4900054931641,0.005145907056533172,0.008980832210058853,0.009464667467088184,-0.0026343118159348755,0.012716766064777785,-0.01973457277905044,0.011258167111497297,0.005869677867579526,0.033869455588091624,0.007592321088718499,0.008988016512958547,0.01886416639684972,0.6643082818255472,-1.1248780614431493,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.24078144859522582,0.0,0.0,18.12129493337125,0.0,0.0,71.0,1,1,1,1,1,0,1,1,0,1,1,0,0.008980832210058853,2025-08-27,AAPL
2025-08-28,AAPL,232.55999755859372,0.008980832210058853,-0.001805977697602379,0.005145907056533172,0.009464667467088184,-0.0026343118159348755,-0.004911289931109564,0.013527638440646417,0.015000674489321852,0.037286080935880817,0.005886119096613334,0.00952324292705101,0.018658362273618858,0.5684414797211476,-0.7856918767919846,False,False,True,False,0.2578334684538491,4.383168963715434,17.0,0.2578334684538491,0.2578334684538491,0.22231240370584765,4.383168963715434,4.383168963715434,9.239743776619434,17.0,17.0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001805977697602379,2025-08-28,AAPL
2025-08-29,AAPL,232.13999938964844,-0.001805977697602379,-0.010424735828844955,0.008980832210058853,0.005145907056533172,0.009464667467088184,0.012716766064777785,0.007849533071728532,0.012924456356615766,0.028533848609612056,0.005778488836065735,0.00938449299427762,0.017306938547644833,0.603939785626095,-0.6613643153399463,False,False,False,True,0.3226774402687119,11.616387849673629,36.0,0.29025545436128053,0.29025545436128053,0.29025545436128053,15.999556813389063,15.999556813389063,15.999556813389063,53.0,53.0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010424735828844955,2025-08-29,AAPL
2025-09-02,AAPL,229.72000122070312,-0.010424735828844955,0.038089848308826335,-0.001805977697602379,0.008980832210058853,0.005145907056533172,-0.0026343118159348755,-0.004869084846254479,0.0028769746476318137,0.011848937207542098,0.00840891252478483,0.009948642807882595,0.017741823998427265,0.5014701242619887,-0.4141571640967697,True,False,False,False,0.49146021353927527,27.03031174466014,55.0,0.3573237074206121,0.3573237074206121,0.3573237074206121,43.0298685580492,43.0298685580492,43.0298685580492,108.0,108.0,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0.038089848308826335,2025-09-02,AAPL
2025-09-03,AAPL,238.47000122070312,0.038089848308826335,0.005493343195739575,-0.010424735828844955,-0.001805977697602379,0.008980832210058853,0.009464667467088184,0.024901580824075786,0.037493701862623574,0.04217772029694511,0.018372090917084766,0.015705651911858194,0.018971053372111833,0.5889889407868953,0.460094182928849,False,True,False,False,0.1014366556579868,6.999129240401089,69.0,0.30519143648865804,0.2933519444799558,0.2933519444799558,45.64582883473486,50.02899779845029,50.02899779845029,160.0,177.0,177.0,0,0,0,0,0,0,0,0,0,0,0,0,0.005493343195739575,2025-09-03,AAPL
2025-09-04,AAPL,239.77999877929688,0.005493343195739575,-0.00037532879451496193,0.038089848308826335,-0.010424735828844955,-0.001805977697602379,0.005145907056533172,0.022367755437161074,0.036980653272348674,0.041808198660111984,0.01835926333788411,0.013420797574321635,0.016108490629966145,0.6180837336448786,-0.2228566948717303,False,False,True,False,0.29949374132874335,6.588862309232354,22.0,0.29746353684200183,0.29458030384971334,0.29458030384971334,40.61830329429358,56.617860107682645,56.617860107682645,146.0,199.0,199.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00037532879451496193,2025-09-04,AAPL
2025-09-05,AAPL,239.69000244140625,-0.00037532879451496193,-0.007551410322323426,0.005493343195739575,0.038089848308826335,-0.010424735828844955,0.008980832210058853,0.015807771746933375,0.0300032755762889,0.0369322628696207,0.018716130433374605,0.013083012612319814,0.014969339645313095,0.6419063125728708,0.23535700339111884,False,False,False,True,0.4003155516533583,20.416093134321272,51.0,0.2670819828800295,0.32307672048961517,0.31220284515032076,34.004084683954716,72.65078427828848,77.03395324200392,142.0,233.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007551410322323426,2025-09-05,AAPL
2025-09-08,AAPL,237.8800048828125,-0.007551410322323426,-0.014839409394816094,-0.00037532879451496193,0.005493343195739575,0.038089848308826335,-0.001805977697602379,0.0032559136269709743,0.01779909139304281,0.02714900584715174,0.01949054415745818,0.013567880158510327,0.012225995561532007,0.6178753880614412,0.15697749938333586,False,False,False,False,0.0,0.0,0.0,0.34990464649105085,0.32317654054484096,0.31220284515032076,27.004955443553627,61.034396428614855,77.03395324200392,73.0,197.0,250.0,1,1,1,0,0,0,0,0,0,0,0,0,-0.014839409394816094,2025-09-08,AAPL
2025-09-09,AAPL,234.3500061035156,-0.014839409394816094,-0.03225949486019397,-0.007551410322323426,-0.00037532879451496193,0.005493343195739575,-0.010424735828844955,-0.015476766094203787,-0.0003796098804895731,0.010342730397857602,0.020443313384875227,0.014770457538740856,0.012594952510847817,0.5576866262714832,1.5903180337236953,True,False,False,False,0.0,0.0,0.0,0.4003155516533583,0.26708198288002954,0.3230767204896151,20.416093134321272,34.004084683954716,72.65078427828848,51.0,142.0,233.0,1,1,1,0,0,0,0,0,0,0,0,0,-0.03225949486019397,2025-09-09,AAPL
2025-09-10,AAPL,226.7899932861328,-0.03225949486019397,0.014286368839370622,-0.014839409394816094,-0.007551410322323426,-0.00037532879451496193,0.038089848308826335,-0.03779415935212893,-0.03158590237157233,-0.02164725180574023,0.014641847703593188,0.018284845173052646,0.014480545401396537,0.5108756146627699,2.4251641876277237,False,True,False,False,0.0,0.0,0.0,0.0,0.3499046464910509,0.3231765405448409,0.0,27.004955443553627,61.034396428614855,0.0,73.0,197.0,1,1,1,1,0,0,1,0,0,1,0,0,0.014286368839370622,2025-09-10,AAPL
2025-09-11,AAPL,230.02999877929688,0.014286368839370622,0.017562963814985233,-0.03225949486019397,-0.014839409394816094,-0.007551410322323426,0.005493343195739575,-0.015906028294834784,-0.017557803120701654,-0.00696330341681517,0.017249712940437166,0.01884361662231132,0.014380858497366256,0.5675178492449323,0.17820809326867637,False,False,True,False,0.0,0.0,0.0,0.0,0.4003155516533583,0.26708198288002943,0.0,20.416093134321272,34.004084683954716,0.0,51.0,142.0,1,1,1,1,0,0,1,0,0,1,0,0,0.017562963814985233,2025-09-11,AAPL
2025-09-12,AAPL,234.07000732421875,0.017562963814985233,0.011235910376080627,0.014286368839370622,-0.03225949486019397,-0.014839409394816094,-0.00037532879451496193,0.00621606212653858,-0.0009475100186194796,0.010196077522333757,0.020775514162882706,0.019484668751087893,0.01493300003738755,0.5805465036519988,0.5786134174157905,False,False,False,True,0.3695040981152228,2.5865286868065596,7.0,0.3695040981152228,0.3695040981152228,0.3564377970324415,2.5865286868065596,2.5865286868065596,29.591484130360186,7.0,7.0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0.011235910376080627,2025-09-12,AAPL
2025-09-15,AAPL,236.6999969482422,0.011235910376080627,0.0061258849469241206,0.017562963814985233,0.014286368839370622,-0.03225949486019397,-0.007551410322323426,0.01855515969370547,0.008315282091749143,0.020421348355165625,0.02177421008381845,0.019724545784045214,0.01506329439353111,0.6157766259166936,-0.3466987163736555,False,False,False,False,0.35792788938852027,22.907384920865297,64.0,0.3637159937518716,0.3637159937518716,0.37591584638570047,25.493913607671857,25.493913607671857,45.91000674199313,71.0,71.0,122.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061258849469241206,2025-09-15,AAPL
