Date,Ticker,Open,High,Low,Close,Volume
2025-07-22,AAPL,212.89838571641525,214.7063314773177,211.9894136266437,214.15695190429688,46404100
2025-07-22,AMZN,229.67999267578125,230.0,226.35000610351562,227.47000122070312,37483700
2025-07-22,GOOGL,191.328882294876,191.47874216205827,187.29249900550474,191.1690216064453,44660200
2025-07-22,MSFT,510.13139215337156,510.3610256433726,504.44073486328125,504.44073486328125,13868600
2025-07-22,NVDA,171.33033873133073,171.38033896465845,164.5707252526767,167.0205841064453,193114300
2025-07-23,AAPL,214.75626907170553,214.90609293027538,212.1692088371252,213.9072265625,46989300
2025-07-23,AMZN,228.47000122070312,228.7899932861328,227.08999633789062,228.2899932861328,28294900
2025-07-23,GOOGL,191.32888225818212,192.35796066638142,189.01094801184496,190.0600128173828,58681900
2025-07-23,MSFT,505.9183250285286,505.95826791167354,499.87826643817476,505.0397644042969,16396600
2025-07-23,NVDA,169.52044095634585,171.25033914956657,167.96053134785282,170.77037048339844,154082200
2025-07-24,AAPL,213.65751035981805,215.44548969662856,213.28793468034502,213.51766967773438,46022600
2025-07-24,AMZN,229.1699981689453,236.0,228.63999938964844,232.22999572753906,42902300
2025-07-24,GOOGL,196.85393348830104,197.7731095502254,190.8293230940032,191.99827575683594,74881700
2025-07-24,MSFT,507.93498157135946,512.826933461713,506.4673929575042,510.0415344238281,16107000
2025-07-24,NVDA,172.43027959809626,173.82020061413024,171.29034448608226,173.73020935058594,128984600
2025-07-25,AAPL,214.45660521718813,214.9960015887686,213.15807589620647,213.63754272460938,40268800
2025-07-25,AMZN,232.22000122070312,232.47999572753906,231.17999267578125,231.44000244140625,28712100
2025-07-25,GOOGL,191.80844534575607,194.1563515198352,191.08908750710862,193.0073699951172,39785900
2025-07-25,MSFT,511.6289272082179,517.4393829887753,509.52240467312413,512.866943359375,19125700
2025-07-25,NVDA,173.60021352539138,174.71015156060187,172.9502562716434,173.49021911621094,122316800
2025-07-28,AAPL,213.78737619229818,214.60645396318566,212.81847455673218,213.80735778808594,37858000
2025-07-28,AMZN,233.35000610351562,234.2899932861328,232.25,232.7899932861328,26300100
2025-07-28,GOOGL,193.47694913334269,193.87660084223495,190.6694625759226,192.4079132080078,38139500
2025-07-28,MSFT,513.2362984451797,514.1547714605564,509.2827757416266,511.65887451171875,14308000
2025-07-28,NVDA,174.0101941822023,176.9900219174052,173.96019394928393,176.7400360107422,140023500
2025-07-29,AAPL,213.93719187335407,214.5664825639156,210.58101550100253,211.03050231933594,51411700
2025-07-29,AMZN,234.14999389648438,234.72000122070312,230.30999755859375,231.00999450683594,33716200
2025-07-29,GOOGL,192.2580327538162,195.7449194968108,191.90835466905762,195.5750732421875,41389200
2025-07-29,MSFT,514.6839236482208,516.7704593446111,510.7204076628311,511.728759765625,16469200
2025-07-29,NVDA,177.94996552058157,179.36988356772682,175.01012896550742,175.50009155273438,154077500
2025-07-30,AAPL,211.65977882345743,212.14922883427738,207.48452469073794,208.81301879882812,45512500
2025-07-30,AMZN,231.63999938964844,231.8000030517578,229.2899932861328,230.19000244140625,32993300
2025-07-30,GOOGL,195.42522371418744,197.42343657324804,194.51603320447785,196.35438537597656,32445400
2025-07-30,MSFT,514.3244691518986,515.1032182392812,508.6038929137552,512.3976440429688,26380400
2025-07-30,NVDA,176.50004870661488,179.87986313645385,176.03007396904806,179.25990295410156,174312200
2025-07-31,AAPL,208.25365677749065,209.60211724381097,206.92516266487007,207.33470153808594,80698400
2025-07-31,AMZN,235.77000427246094,236.52999877929688,231.39999389648438,234.11000061035156,104357300
2025-07-31,GOOGL,195.53512388567077,195.8148724632573,190.91924186518514,191.728515625,51329200
2025-07-31,MSFT,554.3187056451394,554.5383762548963,531.0270400328567,532.6243896484375,51617300
2025-07-31,NVDA,182.88968537366165,183.28967198380855,175.92007699286586,177.85997009277344,221685400
2025-08-01,AAPL,210.63095505795985,213.33788973606855,201.27158167093614,202.1505889892578,104434500
2025-08-01,AMZN,217.2100067138672,220.44000244140625,212.8000030517578,214.75,122258800
2025-08-01,GOOGL,188.86108179697592,190.65947636814528,187.65217158882444,188.96099853515625,34832200
2025-08-01,MSFT,534.1219588686084,534.9206337229102,520.0051507892547,523.2498168945312,28977600
2025-08-01,NVDA,174.08017933113513,176.53003812303805,170.88036283204175,173.710205078125,204529000
2025-08-04,AAPL,204.27816503495924,207.64435521756303,201.4513712516652,203.11949157714844,75109300
2025-08-04,AMZN,217.39999389648438,217.44000244140625,211.4199981689453,211.64999389648438,77890100
2025-08-04,GOOGL,190.11995195242244,195.0955128481526,189.95010569222902,194.86570739746094,31547400
2025-08-04,MSFT,527.4030257699867,537.3666271513684,527.2632409127965,534.7609252929688,25349000
