fold_train_rows,fold_test_rows,MAE,R2
35,35,0.016560140214185948,-0.26795300628955787
70,35,0.012516959770496007,-0.033442095740439326
105,35,0.013026175737540157,-0.09182705053190632
140,35,0.008983411590722828,-0.2799872107330348
175,35,0.01645411416311807,-0.15293741788635007
