ticker,MAE,R2,n_obs
AAPL,0.012707566767485131,-0.11617133689353265,35
AMZN,0.01530561916301086,-0.3374700125639405,35
GOOGL,0.013245122070475627,-0.14480671908041542,35
MSFT,0.008793463114580824,-0.47421747995191366,35
NVDA,0.017489030360510575,-0.077606075519987,35
