ticker,date,sentiment_mean,sentiment_sum,news_count,ppos_mean,pneg_mean
AAPL,2025-06-02,0.8946260102093221,0.8946260102093221,1,0.937064290046692,0.0424382798373699
AAPL,2025-06-24,0.19209474232047796,0.3841894846409559,2,0.24202349036931986,0.0499287480488419
AAPL,2025-06-25,0.2999840441159904,11.999361764639616,40,0.5432492727879434,0.24326522867195305
AAPL,2025-06-26,0.37221884068523375,19.72759855631739,53,0.5924775674236271,0.22025872673839328
AAPL,2025-06-27,0.5511816268503342,25.354354835115373,46,0.6385820446454961,0.0874004177951618
AAPL,2025-06-30,0.25228454017390806,20.435047754086554,81,0.5170805685590079,0.26479602838509975
AAPL,2025-07-01,0.8264634013175965,0.8264634013175965,1,0.9006335139274597,0.0741701126098632
AAPL,2025-07-15,0.5349661987274886,0.5349661987274886,1,0.5542341470718384,0.0192679483443498
AAPL,2025-07-24,0.4412285469729325,12.795627862215042,29,0.627915922038514,0.18668737506558153
AAPL,2025-07-25,0.44137273380266767,15.448045683093369,35,0.6351250299385616,0.19375229613589387
AAPL,2025-07-28,0.4424424541883924,39.377378422766924,89,0.6302330973819735,0.1877906431935811
AAPL,2025-07-29,0.4044560218724061,19.8183450717479,49,0.5795657415399138,0.17510971966750763
AAPL,2025-07-30,0.39091133382171395,17.591010021977127,45,0.596455836089121,0.205544502267407
AAPL,2025-08-22,0.5274297657888384,4.219438126310707,8,0.6678786780685186,0.14044891227968032
AAPL,2025-08-25,0.3834504154725717,24.92427700571716,65,0.5301045045113334,0.14665408903876173
AAPL,2025-08-26,0.4406763714439464,23.35584768652916,53,0.5859246789565626,0.14524830751261616
AAPL,2025-08-27,0.355448531297346,12.796147126704456,36,0.6016756636090577,0.24622713231171167
AAPL,2025-08-28,0.29304118095231907,10.256441333331168,35,0.46288755450929914,0.16984637355698
AAPL,2025-08-29,0.3226774402687119,11.616387849673629,36,0.5549048971281283,0.23222745685941637
AMZN,2025-06-02,0.8946260102093221,0.8946260102093221,1,0.937064290046692,0.0424382798373699
AMZN,2025-06-25,0.16808059051012,6.05090125836432,36,0.5137982806190848,0.3457176901089648
AMZN,2025-06-26,0.2810168522040522,17.70406168885529,63,0.5635083845801769,0.2824915323761247
AMZN,2025-06-27,0.3874785637384967,14.724185422062874,38,0.6420253550535754,0.2545467913150787
AMZN,2025-06-30,0.28911774714637284,28.62265696749091,99,0.5578983948763573,0.2687806477299844
AMZN,2025-07-01,0.8264634013175965,0.8264634013175965,1,0.9006335139274597,0.0741701126098632
AMZN,2025-07-24,0.3243084909733046,10.702180202119052,33,0.6102778719117244,0.2859693809384197
AMZN,2025-07-25,0.45470928003834116,19.09778976161033,42,0.6429767236557036,0.1882674436173623
AMZN,2025-07-28,0.29312578128957295,23.156936721876264,79,0.5554707867529574,0.26234500546338435
AMZN,2025-07-29,0.3424855965588774,16.781794231384993,49,0.5538788529835186,0.21139325642464107
AMZN,2025-07-30,0.28138333375043256,11.536716683767736,41,0.5808105192987657,0.2994271855483331
AMZN,2025-08-22,0.24698290629312397,4.939658125862479,20,0.5378187836147845,0.2908358773216605
AMZN,2025-08-25,0.3817901833318785,23.289201183244586,61,0.6440051673438216,0.2622149840119432
